"from","to","edge_type","selection"
"UNKNOWN","CROSS_BLOCK","cohort",NA
"UNKNOWN","CROSS_SEED","cohort",NA
"UNKNOWN","DH_BULK","cohort",NA
"UNKNOWN","Variety","cohort",NA
